Tourney_Nb,Team Name,InjurySub,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10
2,BandonDunes,,36975.0,18444.0,,24382.0,,,,20387.0,,
2,Bears Birdie Club,Max Greyserman,Ludvig Aberg,Tony Finau,Nick Dunlap,Matt McCarty,Taylor Pendrith,Michael Thorbjornsen,Nico Echavarria,Karl Vilips,,
2,Bears Birdie Club,,,,195025.0,18444.0,24382.0,,948300.0,,,
2,Berkley 8,Jhonattan Vegas,Tony Finau,Sam Burns,Keegan Bradley,Maverick McNealy,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Adam Hadwin,Matteo Manassero,William Mouw
2,Berkley 8,,,,283838.0,24382.0,,,18444.0,19314.0,,
2,Birdie Boys,Wyndham Clark,Xander Schauffele,Ludvig Aberg,Keegan Bradley,Brian Harman,,,,,,
2,Birdie Boys,,,,283838.0,80088.0,,,,,,
2,Blurry Golfers,Tom Hoge,Collin Morikawa,Viktor Hovland,Harris English,Min Woo Lee,Chris Kirk,Doug Ghim,,,,
2,Blurry Golfers,,,,,,,17226.0,,,,
2,Bob Loblaw,Justin Rose,Adam Hadwin,Rickie Fowler,Chris Kirk,Joel Dahmen,Viktor Hovland,Will Zalatoris,Matt Fitzpatrick,Kevin Yu,Matthieu Pavon,
2,Bob Loblaw,,19314.0,,,,,,,,,
2,Busch League,Eric Cole,Xander Schauffele,Tommy Fleetwood,Robert MacIntyre,Aaron Rai,Brian Harman,Nick Dunlap,,,,
2,Busch League,,,,20387.0,,80088.0,195025.0,,,,
2,Crackem 94,Aaron Rai,Scottie Scheffler,Russell Henley,Tom Hoge,Nick Taylor,Kevin Yu,Chan Kim,,,,
2,Crackem 94,,,195025.0,24382.0,1566000.0,,20387.0,,,,
2,Double Eagles,Maverick McNealy,Scottie Scheffler,Tom Kim,Cam Davis,Jon Rahm,,,,,,
2,Double Eagles,,,18444.0,,,,,,,,
2,East West Mics,Matteo Manassero,Xander Schauffele,Will Zalatoris,Rasmus Hojgaard,Frankie Capan III,Aldrich Potgieter,Karl Vilips,Matthew Riedel,Braden Thornberry,Takumi Kanaya,William Mouw
2,East West Mics,,,,,24382.0,,,,,,
2,El Quatro,Xander Schauffele,Scottie Scheffler,Cameron Young,Jon Rahm,Tom Hoge,,,,,,
2,El Quatro,,,,,24382.0,,,,,,
2,Ex-Sepp-tional,Scottie Scheffler,Xander Schauffele,Ludvig Aberg,Davis Thompson,Austin Eckroat,Ben Griffin,,,,,
2,Ex-Sepp-tional,,,,,,24382.0,,,,,
2,Fore Right,Jordan Spieth,Ludvig Aberg,Viktor Hovland,Robert MacIntyre,Brooks Koepka,Bryson DeChambeau,Lucas Glover,Aaron Rai,,,
2,Fore Right,,,,20387.0,,,80088.0,,,,
2,FroZone,Si Woo Kim,Wyndham Clark,Sahith Theegala,Sam Burns,Russell Henley,Shane Lowry,Takumi Kanaya,,,,
2,FroZone,,,36975.0,,195025.0,,,,,,
2,Gamechanger,Kevin Yu,Wyndham Clark,Tom Kim,Keegan Bradley,Eric Cole,Brian Harman,Chris Kirk,Rickie Fowler,Stephan Jaeger,Justin Rose,Matthieu Pavon
2,Gamechanger,,,18444.0,283838.0,356700.0,80088.0,,,513300.0,,
2,Garden State Golf Club,Maverick McNealy,Sahith Theegala,Max Homa,Akshay Bhatia,Nick Dunlap,Matt McCarty,Nico Echavarria,Billy Horschel,,,
2,Garden State Golf Club,,36975.0,,,195025.0,18444.0,948300.0,,,,
2,General Patton's Troops,Jake Knapp,Ludvig Aberg,Patrick Cantlay,Harris English,Maverick McNealy,Brian Harman,Stephan Jaeger,Patton Kizzire,Patrick Fishburn,,
2,General Patton's Troops,,,,,24382.0,80088.0,513300.0,,283838.0,,
2,Gimme Dat,Christiaan Bezuidenhout,Collin Morikawa,Justin Thomas,Aaron Rai,Russell Henley,Rasmus Hojgaard,,,,,
2,Gimme Dat,,,,,195025.0,,,,,,
2,Go back to your shanties!,Adam Hadwin,Viktor Hovland,Tommy Fleetwood,Jason Day,Rasmus Hojgaard,Christiaan Bezuidenhout,Nicolai Hojgaard,Alex Noren,Erik van Rooyen,Matteo Manassero,
2,Go back to your shanties!,19314.0,,,,,,,,52138.0,,
2,Goin’ Homa,Eric Cole,Aaron Rai,Ludvig Aberg,Tyrrell Hatton,Tom Hoge,Max Homa,Min Woo Lee,Mackenzie Hughes,Stephan Jaeger,,
2,Goin’ Homa,,,,,24382.0,,,,513300.0,,
2,Golf Ball Whacker Guy,Rory McIlroy,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,
2,Golf Ball Whacker Guy,,,,,,,,,,,
2,Good Money After Bad,Scottie Scheffler,Sungjae Im,Sahith Theegala,Sepp Straka,Christiaan Bezuidenhout,Tom Hoge,Chris Kirk,Brian Harman,Adam Hadwin,Ben Griffin,Nick Taylor
2,Good Money After Bad,,,36975.0,52138.0,,24382.0,,80088.0,19314.0,24382.0,1566000.0
2,Good Ol Boys,Thomas Detry,Hideki Matsuyama,Maverick McNealy,Christiaan Bezuidenhout,Sepp Straka,Jhonattan Vegas,Aaron Rai,Tom Hoge,Stephan Jaeger,Chris Kirk,Taylor Pendrith
2,Good Ol Boys,,132675.0,24382.0,,52138.0,,,24382.0,513300.0,,24382.0
2,Hack to the Future,Brian Harman,Collin Morikawa,Wyndham Clark,Akshay Bhatia,Taylor Pendrith,Austin Eckroat,,,,,
2,Hack to the Future,,,,,24382.0,,,,,,
2,Hole 6,Keegan Bradley,Justin Thomas,Sungjae Im,Matt Fitzpatrick,Jason Day,Sepp Straka,Taylor Pendrith,Matt McCarty,,,
2,Hole 6,,,,,,52138.0,24382.0,18444.0,,,
2,Hunter Crew,Shane Lowry,Matt Fitzpatrick,Wyndham Clark,Keegan Bradley,Rory McIlroy,Billy Horschel,,,,,
2,Hunter Crew,,,,283838.0,,,,,,,
2,I know ball,Collin Morikawa,Aaron Rai,Akshay Bhatia,Scottie Scheffler,Si Woo Kim,,,,,,
2,I know ball,,,,,,,,,,,
2,I love broccoli ,Sahith Theegala,Scottie Scheffler,Akshay Bhatia,Shane Lowry,Brian Harman,,,,,,
2,I love broccoli ,,,,,80088.0,,,,,,
2,In Rory We Trust,Harry Hall,Rory McIlroy,Justin Thomas,Jason Day,Taylor Pendrith,Alex Noren,Ben Griffin,Daniel Berger,Nico Echavarria,,
2,In Rory We Trust,195025.0,,,,24382.0,,24382.0,,948300.0,,
2,It Burns When I Pee,Rickie Fowler,Justin Thomas,Sam Burns,Shane Lowry,Maverick McNealy,Tom Hoge,Aaron Rai,Alex Noren,Ben Griffin,Taylor Pendrith,
2,It Burns When I Pee,,,,,24382.0,24382.0,,,24382.0,24382.0,
2,Jackets and Jeans,Cameron Young,Ludvig Aberg,Max Homa,Austin Eckroat,Min Woo Lee,Adam Hadwin,Alex Noren,Cam Davis,Brian Harman,,
2,Jackets and Jeans,,,,,,19314.0,,,80088.0,,
2,John Daly's Fitness Plan,Andrew Novak,Sam Burns,Russell Henley,Shane Lowry,Davis Thompson,Sepp Straka,Tom Hoge,Austin Eckroat,Brian Harman,Alex Noren,Ben Griffin
2,John Daly's Fitness Plan,,,195025.0,,,52138.0,24382.0,,80088.0,,24382.0
2,Knaby's,Matthieu Pavon,Hideki Matsuyama,Sahith Theegala,Jordan Spieth,J.T. Poston,Maverick McNealy,Eric Cole,Adam Hadwin,,,
2,Knaby's,,132675.0,36975.0,,,24382.0,356700.0,19314.0,,,
2,Lincoln Hawk of the Trucker's Division,Akshay Bhatia,Ludvig Aberg,Matt McCarty,Maverick McNealy,Michael Thorbjornsen,Tom Hoge,Nick Dunlap,Thomas Detry,Rasmus Hojgaard,Andrew Novak,
2,Lincoln Hawk of the Trucker's Division,,,18444.0,24382.0,,24382.0,195025.0,20387.0,,,
